temporary_task_id|parent_temporary_id|task_code|task_description|age_from|age_to|difficulty|allows_note|subcategory|category|assessment_type
136||27|Přibývajíci detaily|5|6|||Spontánní kresba|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
137||28|Různorodost námětú, nejčastěji kreslí:|0|||1|Spontánní kresba|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
138||29|Čára svislá|3||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
139||30|Čára vodorovná|3||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
140||31|Kruh|3|3.5|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
141||32|Spirála|4|4.5|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
142||33|Vlnovka|4|5|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
143||34|Šikmá čára|4|5|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
144||35|Zuby|5.5||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
145||36|Horní smyčka|5.5||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
146||37|Spodní smyčka|5.5|6|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
147||38|Horní oblouk s vratným tahem|6||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
148||39|Spodní oblouk s vratným tahem|6||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
149||40|Držení tužky|0|||1|Návyky při kreslení|Hrubá motorika, grafomotorika a kresba|slovné hodnocení
150||41|Postavení ruky|0|||1|Návyky při kreslení|Hrubá motorika, grafomotorika a kresba|slovné hodnocení
151||42|Uvolnění ruky, tlak na podložku|0|||1|Návyky při kreslení|Hrubá motorika, grafomotorika a kresba|slovné hodnocení
152||43|Plynulost tahů|0|||1|Návyky při kreslení|Hrubá motorika, grafomotorika a kresba|slovné hodnocení
153||44|Čára mezi dvěma liniemi (dráhy)|4||||Vizuomotorika|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
154||45|Jedna linie / rozcvičovací cviky|4.5|5|||Vizuomotorika|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
155||46|Překreslí obrázek dle předlohy|6||||Vizuomotorika|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
156||47|Navlékání korálků|0||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
157||48|Zasouvání kostek do otvorů|1||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
158||49|Skládání mozaiky z korálků, či hříbečků|2||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
159||50|Roztáčení káči|3||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
160||51|Zvonění zvonečkem|4||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
161||52|Gumování|5||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
162||53|Hod míčem|6||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
163||54|Kutálení míče, trefování kuželek|7||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
164||55|Šroubování uzávěrů lahví|8||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
165||56|Šroubování matičky|9||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
166||57|Zatloukání kladívkem|10||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
167||58|Hra s pískem – používání lopatky|11||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
168||59|Zvedání kbelíčku s pískem|12||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
169||60|Střihání|13||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
170||61|Dívání se do kukátka, krasohledu|14||||Lateralita oka|Hrubá motorika, grafomotorika a kresba|pravé oko / levé oko / oči střídá
171||62|Dívání se do lahvičky|15||||Lateralita oka|Hrubá motorika, grafomotorika a kresba|pravé oko / levé oko / oči střídá
172||63|Dívání se do klíčové dírky|16||||Lateralita oka|Hrubá motorika, grafomotorika a kresba|pravé oko / levé oko / oči střídá
173||64|Ruky|17||||Lateralita|Hrubá motorika, grafomotorika a kresba|nevyhraněná / vyhraněná, praváctví, leváctví
174||65|Oka|18||||Lateralita|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
175||1 Ř1|Pojmenuje běžné věci na obrázku|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
176||2 Ř2|Ukáže obrázek podle použití|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
177|176||Ukáže obrázek podle použití|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
178||3 Ř3|Ukáže na obrázku činnost|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
179|178||Ukáže na obrázku činnost|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
180|178||Ukáže na obrázku činnost|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
181||4|"Chápe pojmy ""já a moje"""|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
182||5|Správně používá slova ,,ano, ne”|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
183||6|"Odpovídá na otáky ""Co děláš?"", ""Kde?"""|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
184||7|Má zájem o obrázkové knížky, příběhy|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
185||8 Ř8|Ukáže obrázek podle podstatného znaku|3|3.5|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
186||9|"Klade otázky ""Proč?"" ""Kdy?"""|3|3.5|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
187||10 Ř10|Řekne, co je na obrázku|3|3.5|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
188||11|Reprodukuje jednoduchou říkanku|3|3.5|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
189||12 Ř12|Chápe jednoduché protiklady|3.5||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
190|189||Chápe jednoduché protiklady|||same||||Nezvládá / zvládá s dopomocí / zvládá samostatně
191||13 Ř13|Identifikuje věci podle společných podstatných znaků|3.5||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
192||14 Ř14|Zařazuje různé obrázky pod nadřazené pojmy|4||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
193|192||Zařazuje různé obrázky pod nadřazené pojmy|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
194||15 Ř15|Ukáže obrázek podle aktuální situace|4||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
195|194||Ukáže obrázek podle aktuální situace|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
196||16|Vysvětlí na co máme oči, knihy, auta…|4||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
197||17|Poslouchá pohádky, chápe děj|4||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
198||18 Ř18|Spontánně vypráví podle obrázku|4||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
199||19 Ř19|Doplní protiklady s názorem|4||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
200|199||Doplní protiklady s názorem|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
201||20|Definuje význam pojmů|5||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
202||21|Chápe jednoduché vtipy a hádanky|5||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
203||22 Ř22|Sestaví dějovou posloupnost a popíše ji|5||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
204||23|Pojmenuje, co dělá určitá profese|5||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
205||24 Ř24|Přiřadí, co k sobě patří a vysvětlí to|5||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
206|205||Přiřadí, co k sobě patří a vysvětlí to|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
207||25|Umí zpaměti kratší texty|5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
208||26  Ř26|Tvoří nadřazené pojmy|5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
209||27|Tvoří protiklady (antonyma)|5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
210||28 Ř28|Tvoří slova podobného významu (synonyma)|5.5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
211|210||Tvoří slova podobného významu (synonyma)|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
212||29 Ř29|Pozná a vymyslí slova stejného zvuku, ale různého významu (homonyma)|5.5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
213||30 Ř30|Pozná a pojmenuje nesmysl na obrázku|5.5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
214|213||Pozná a pojmenuje nesmysl na obrázku|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
215||31|Správně posoudí pravdivost či nepravdivost tvrzení|5.5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
216||32|Interpretuje pohádky, příběhy bez obrázkového doprovodu|5.5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
217||33|Chápe a ve správném pořadí realizuje i poměrně dlouhé a komplikovanější pokyny|5.5|6|||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
218||34|Mluví ve větách, k podstatným jménům a slovesům postupně přidává přídavná jména, zájmena atd.|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
219||35 Ř35|Rozlišuje mezi jednotným a množným číslem|3||||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
220|219||Rozlišuje mezi jednotným a množným číslem|||same||Lexikálně-sémantická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
221||36|Skloňuje|3||||Morfologicko-syntaktická r.|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
222||37|Tvoří souvětí souřadná|3||||Morfologicko-syntaktická r.|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
223||38|Tvoří souvětí podřadná|3.5|4|||Morfologicko-syntaktická r.|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
224||39|Užívá čas minulý, přítomný, budoucí|4|5|||Morfologicko-syntaktická r.|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
225||40|Užívá všechny druhy slov|4|5|||Morfologicko-syntaktická r.|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
226||41|Mluví gramaticky správně|4|5|||Morfologicko-syntaktická r.|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
227||42|Pozná nesprávně utvořenou větu|5|6|||Morfologicko-syntaktická r.|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
228||43 Ř43|Do příběhu doplní slovo ve správném tvaru|5|6|||Morfologicko-syntaktická r.|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
229||44|Uřednostňuje verbální formu komunikace, pomocí řeči dosahuje cíle|3||||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
230||45|Řekne své jméno, jména sourozenců, kamarádů|3|3.5|||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
231||46|Mluví nenuceně, pokouší se o krátkou konverzaci|3.5|4|||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
232||47|Spontánně informuje o zážitcích, pocitech, přáních|4||||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
233||48|Předá krátký vzkaz|4||||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
234||49|Řečový projev po obsahové i formální stránce odpovídá kritériím běžné konverzace|5|6|||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
235||50|Aktivně a spontánně navazuje řečový kontakt s dětmi i dospělými|5|6|||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
236||51|Dodržuje pravidla konverzace a společenského kontaktu|5|6|||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
237||52|Dokáže zformulovat otázku, adekvátně odpovědět na otázku (samostatně a smysluplně)|5|6|||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
238||53|Smysluplně vyjádří myšlenku, nápad, mínění, popíše situaci, událost, vyjádří svoje pocity, prožitky…|5|6|||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
239||54|Řekne svoje jméno a příjmení, jména rodičů, sourozenců, kamarádů, učitelek, svoji adresu|5|6|||Pragmatická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
240||55|Oční kontakt|3|4|||Prvky neverbální komunikace|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
241|240||Oční kontakt|4|5|||Prvky neverbální komunikace|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
242|240||Oční kontakt|5|6|||Prvky neverbální komunikace|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
243||56|Výslovnost|3|4|||Foneticko – fonologická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
244|243||Výslovnost|4|5|||Foneticko – fonologická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
245|243||Výslovnost|5|6|||Foneticko – fonologická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
246||57|Artikulační obratnost|3|4|||Foneticko – fonologická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
247|246||Artikulační obratnost|4|5|||Foneticko – fonologická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
248|246||Artikulační obratnost|5|6|||Foneticko – fonologická rovina|Řeč|Nezvládá / zvládá s dopomocí / zvládá samostatně
249||1 P1,2,3|Nahoře, dole|3||||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
250||2 P1,2,3|Předložkové vazby na, do, v|3|4|||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
251||3 P1,2,3|Níže, výše|3.5|4|||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
252||4 P4,5|Vpředu, vzadu|4||||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
253||5 P4,5|Předložkové vazby před za, nad, pod, vedle, mezi|4|5|||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
254||6|Daleko, blízko|4|5|||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
255||7 P7,8,10|První, poslední|4.5||||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
256|255||První, poslední|||same||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
257|255||První, poslední|||harder||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
258||8 P7,8,10|Uprostřed, prostřední, předposlední|5||||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
259|258||Uprostřed, prostřední, předposlední|||same||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
260|258||Uprostřed, prostřední, předposlední|||harder||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
261||9|Orientace v okolí – dítě ví, jak se jde do obchodu, do školky.…|4|5|||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
262||10 P7,8,10|Hned před, hned za|5||||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
263||11|Vpravo, vlevo, na vlastním těle|5||||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
264||12 P12,13|Vpravo, vlevo – umístění předmětu|5|5.5|||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
265||13 P12,13|Vpravo nahoře - dvě kritéria|6||||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
266|265||Vpravo nahoře - dvě kritéria|||harder||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
267||14|Vpravo, vlevo na druhé osobě|7.5|8|||Vnímání prostoru, pojmy|Vnímání prostoru|Nezvládá / ukáže v prostoru, na sobě / ukáže na formátu / pojmenuje
268||1 Č1-5|Přiřadí činnosti obvyklé pro ráno|4|5|||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
269||2 Č1-5|Přiřadí činnosti obvyklé pro poledne|4|5|||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
270||3 Č1-5|Přiřadí činnosti obvyklé pro večer|4|5|||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
271||4 Č1-5|Přiřadí činnosti obvyklé pro dopoledne|4.5|5|||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
272||5 Č1-5|Přiřadí činnosti obvyklé pro odpoledne|4.5|5|||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
273||6 Č6,7|Rozliší dříve, později (seřadí dva obrázky)|4.5||||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
274|273||Rozliší dříve, později (seřadí dva obrázky)|||same||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
275||7 Č6,7|Seřadí obrázky podle posloupnosti děje, jmenuje, co se stalo nejdříve, později, naposled|5||||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
276|275||Seřadí obrázky podle posloupnosti děje, jmenuje, co se stalo nejdříve, později, naposled|||same||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
277||8|Rozliší pojmy nejdříve, před tím, nyní, potom|5||||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
278||9|Začíná se orientovat ve dnech v týdnu|5|6|||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
279||10 Č10|Přiřadí činnosti obvyklé pro roční období|5|6|||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
280|279||Přiřadí činnosti obvyklé pro roční období|||harder||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
281||11|Pojmy včera, dnes, zítra|6||||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
282||12|Předevčírem, pozítří|6.5|7|||Vnímání času|Vnímání času|Nezvládá / ukáže s dopomocí, ukáže na obrázku / zvládá samostatně, aktivně používá
283||1 M1|Malý x velký|3||||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
284|283||Malý x velký|||same||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
285||2 M2|Hodně x málo|3||||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
286|285||Hodně x málo|||same||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
287||3|Všechny|3||||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
288||4 M4|Krátký x dlouhý|3.5||||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
289|288||Krátký x dlouhý|||same||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
290||5 M5|Úzký x široký|3.5||||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
291|290||Úzký x široký|||same||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
292||6 M6|Nízký x vysoký|3.5||||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
293|292||Nízký x vysoký|||same||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
294||7 M7|Prázdný x plný|3.5||||Porovnávání, pojmy, vztahy|Základní matematické představy|nezvládá / zvládá s dopomocí, předmět přiřadí / zvládá samostatně, pojmenuje
